code,name,country,slug
6N,Al-naser Airlines,Jordan,6N
6N1,EuroManx   ,United Kingdom,6N1
6N2,CityConnect Airlines   ,Netherlands,6N2
6O,Liaison,Canada,6O
6P,Gryphon Airlines,South Africa,6P
6Q,Cham Wings Airlines,Syrian Arab Republic,6Q
6R,OJSC Mirny Enterprise,Russian Federation,6R
6S,Star Air Aviation,Pakistan,6S
6T,Turks Air,USA,6T
6U,Acg Air Cargo Germany,Germany,6U
6U1,Ukraine National Airlines     ,Ukraine,6U1
6V,AVANZA,Spain,6V
6W,Saratov Airlines,Russian Federation,6W
6Y,Smartlynx Airlines Ltd,Latvia,6Y
6Z,Euro-Asia Air,Kazakhstan,6Z
72E,Sky Cabs,Sri Lanka,72E
72J,China Cargo Airlines,China,72J
72N,Starwelt Trans Lloyd Cargo,Malawi,72N
72Y,Thai Air Cargo,Thailand,72Y
73A,Alliance Air,USA,73A
73D,Air People International,Thailand,73D
73L,Africa West,Togo,73L
73N,Airvantage Inc,USA,73N
73S,Aerologic GmbH,Germany,73S
73X,Premier Trans Aire,USA,73X
74C,Click Airways,United Arab Emirates,74C
74J,Air Cargo Carriers Inc.,USA,74J
74S,Solar Cargo,Venezuela,74S
74X,Mercury World Cargo,USA,74X
75B,Euro-Asia Air International,Kazakhstan,75B
75C,C.A.l. Cargo Airlines,Israel,75C
75M,National Airlines,USA,75M
75R,"Custom Air Transport, Inc.",USA,75R
75S,L'Aeropostale,France,75S
75W,Itapemirim Transportes Aereos S.A.,Brazil,75W
75Y,Atlas Air,USA,75Y
75Z,Airfreight Express,United Kingdom,75Z
76G,Gabon Airlines Cargo,Gabon,76G
76N,Aero Sucre,Colombia,76N
76P,Aeropuma S.A.,USA,76P
76R,Aerounion,Mexico,76R
76S,Star Air Aviation,Pakistan,76S
76T,Turks Air,USA,76T
76W,Libo Air Cargo,Libya,76W
76Z,Cargolift International Airlines,USA,76Z
77A,Aztec Worldwide Airlines,USA,77A
77C,Coyne Airways,United Kingdom,77C
77J,Swiftair,Spain,77J
77L,Silk Way West Airlines,Azerbaijan,77L
77T,Trans Am Aero Exp. Del Ecuador Cia.Ltda,Ecuador,77T
77U,"Commercial Aviation Services, LLC",USA,77U
78D,Expo Aviation,Sri Lanka,78D
78F,PT Cardig Air,Indonesia,78F
78G,Gulf And Caribbean Air,USA,78G
78L,Cargo Plus Aviation Inc,Bahamas,78L
78V,Astral Aviation,Kenya,78V
78W,BAX Global,USA,78W
78Y,China Postal Airlines,China,78Y
79F,Haiti Air Freight International S.A.,USA,79F
79G,Ukraine Air Service,Ukraine,79G
79N,ANA & JP Express,Japan,79N
79X,"Diamond International Airlines, Inc",USA,79X
7A,Air Next,Japan,7A
7A5,Airlinair,France,7A5
7B,Moscow Airlines,Russian Federation,7B
7B4,"Bankair, Inc.",USA,7B4
7BB,CargoB Airlines,Belgium,7BB
7BF,Bluebird Cargo,Iceland,7BF
7BN,Forward Air,USA,7BN
7BZ,Blue Dart Aviation Limited,India,7BZ
7C,Jeju Airlines,Korea Republic of,7C
7C4,Rus Aviation,United Arab Emirates,7C4
7C8,Cargolux Italia S.p.A.,Italy,7C8
7C9,Cla Air Transport,Philippines,7C9
7CV,Cargolux Airlines International,Luxembourg,7CV
7D,Donbassaero Airlines,Ukraine,7D
7D4,Aries Del Sur S.A.,Argentina,7D4
7D5,DHL Aero Expreso S.A.,Panama,7D5
7E,Sylt Air,Germany,7E
7.00E+07,Estafeta Carga Aerea,Mexico,70000000
7EZ,"Evergreen International Airlines, Inc.",USA,7EZ
7F,First Air,Canada,7F
7F1,Unaalik Aviation   ,Canada,7F1
7F2,Aerolineas Regionales Ta Regional Cargo,Mexico,7F2
7F4,Shanghai Airlines Cargo International,China,7F4
7F7,Aircompany Volare,Ukraine,7F7
7FC,Falcon Express,United Arab Emirates,7FC
7FK,Africa West,Togo,7FK
7G,Star Flyer,Japan,7G
7GO,Go,United Kingdom,7GO
7GR,Gemini Air Cargo,USA,7GR
7H,ERA Aviation,USA,7H
7HJ,Asian Express Airlines,Australia,7HJ
7HK,"Four Star Aviation, Inc","Virgin Islands, US",7HK
7HW,TransAustralian Air,Australia,7HW
7I,Insel Air,Curacao,7I
7IM,Fly Wex,Italy,7IM
7J,Tajikistan Airlines,Tajikistan,7J
7J5,Donghai Airlines,China,7J5
7J7,Galaxy Airlines,Japan,7J7
7JI,Jade Cargo International,China,7JI
7JT,Transair,Australia,7JT
7JW,Arrow Cargo,USA,7JW
7K,Kogalymavia,Russian Federation,7K
7K4,Kalitta Air,USA,7K4
7K5,Aban Air,Iran Islamic Republic of,7K5
7K9,Itapemirim Transportes Aereos,Brazil,7K9
7KO,Alaska Central Express Inc,USA,7KO
7KR,"Kitty Hawk Aircargo, Inc.",USA,7KR
7L,Aerocaribbean,Cuba,7L
7L2,Lynden Air Cargo,USA,7L2
7L3,"DHL de Guatemala, S.A.",Guatemala,7L3
7L8,Laparkan Airways,USA,7L8
7LE,Laparkan Airways,USA,7LE
7M,"Mayair, S.A. de C.V.",Mexico,7M
7M2,"Mario's Air, Inc.",USA,7M2
7M3,Absa Cargo,Brazil,7M3
7M4,"Commercial Aviation Services, LLC",USA,7M4
7M6,"Amerijet International, Inc.",USA,7M6
7M7,Masair,Mexico,7M7
7MG,Midex Airlines,United Arab Emirates,7MG
7N,National Airways,Ethiopia,7N
7N4,Nac Net Inc.,USA,7N4
7N7,Neptune Air,Malaysia,7N7
7NC,"Northern Air Cargo, Inc.",USA,7NC
7O,Travel Service Hungary,Hungary,7O
7OE,Asia Overnight Express Corp.,Philippines,7OE
7P,Air Panama,Panama,7P
7P3,Premier Trans Aire,USA,7P3
7P4,Pacific International Airlines,USA,7P4
7PE,Pacific Air Express,Solomon Islands,7PE
7PL,Airstars,Russian Federation,7PL
7Q,Ulendo Airlink,Malawi,7Q
7Q8,"Pacific East Asia Cargo Airlines, Inc.",Philippines,7Q8
7Q9,Sayakhat Air Company,Kazakstan,7Q9
7QA,Starlight Airlines,United Arab Emirates,7QA
7QJ,Jet Airways Inc.,USA,7QJ
7QO,Aeromexpress,Mexico,7QO
7QT,Tampa Airlines Cargo,Colombia,7QT
7R,Joint Stock Aviation Company RusLine,Russian Federation,7R
7R6,Rus Aviation,United Arab Emirates,7R6
7R8,Corporate Charter Service Inc.,Puerto Rico,7R8
7R9,Air Charter Inc.,Puerto Rico,7R9
7RH,PT Republic Express Airlines,Indonesia,7RH
7RT,Rutges Cargo,Netherlands,7RT
7RU,AirBridgeCargo,Russian Federation,7RU
7S,Ryan Air,USA,7S
7S5,Air Calypso,USA,7S5
7S8,Shovkoviy Shlyah Airlines,Ukraine,7S8
7SH,Sunsplash Aviation LLC,USA,7SH
7T,Trans Am Aero Exp. Del Ecuador Cia.Ltda,Ecuador,7T
7T2,Thai Air Cargo,Thailand,7T2
7T4,Tie Aviation Inc.,USA,7T4
7TH,Transmile Air,Malaysia,7TH
7TL,Trans Mediterranean Airways,Lebanon,7TL
7U,"Commercial Aviation Services, LLC",USA,7U
7U3,Uralinteravia,Russian Federation,7U3
7UD,"Fast Air Carrier, Ltda.",Chile,7UD
7V,Federal Airlines (Pty) Ltd,South Africa,7V
7V4,"Vensecar Internacional, C.A.",Venezuela,7V4
7VC,Ocean Airlines,Italy,7VC
7W,Wind Rose Aviation,Ukraine,7W
7W8,Winnport Logistics Ltd,Canada,7W8
7XM,Australian Air Express,Australia,7XM
7Y,MED Airways,Lebanon,7Y
7Y8,Yangtze River Express Airlines,China,7Y8
7Z,Halcyonair Cabo Verde Airways S.A.,Cape Verde,7Z
7Z3,Avient Aviation,Zimbabwe,7Z3
7Z7,Sahara Air Cargo,United Arab Emirates,7Z7
7Z8,"DHL de Guatemala, S.A.",Guatemala,7Z8
7ZM,CityLine Hungary,Hungary,7ZM
7ZP,Silk Way Airlines,Azerbaijan,7ZP
7ZR,Aviacon Zitotrans,Russian Federation,7ZR
8A,"Panama Airways, Inc",Panama,8A
8B,Business Air Centre Co,Thailand,8B
8C,Cotai Ferry Company,Hong Kong (sar) China,8C
8D,"Servant Air, Inc.",USA,8D
8E,Bering Air,USA,8E
8F,STP Airways,Sao Tome and Principe,8F
8G,GIRjet,Spain,8G
8H,Highland Airways,United Kingdom,8H
8I,Insel Air Aruba,Aruba,8I
8J,Jet4you,Morocco,8J
8K,K-Mile Air Co,Thailand,8K
8L,Lucky Air Co. Ltd.,China,8L
8M,Myanmar Airways International,Myanmar,8M
8N,Regional Air Services,Tanzania United Republic of,8N
8O,West Coast Air,Canada,8O
8P,Pacific Coastal Airlines Limited,Canada,8P
8Q,Onur Air,Turkey,8Q
8R,Sol Lineas Aereas,Argentina,8R
8S,TurboJET,Hong Kong (sar) China,8S
8T,Air Tindi Ltd,Canada,8T
8U,Afriqiyah Airways,Libya,8U
8V,Wright Air Service,USA,8V
8W,Private Wings,Germany,8W
8Y,China Postal Airlines,China,8Y
8Z,Wizz Air Bulgaria,Bulgaria,8Z
9A,Aladia Airlines,Mexico,9A
9B,Accesrail Inc.,Canada,9B
9B1,Flam Railway   ,Norway,9B1
9B2,Michigan Flyer Motorcoach,USA,9B2
9B3,SNCB Europe,Belgium,9B3
9B4,Renfe,Spain,9B4
9BA,One,United Kingdom,9BA
9BB,Arriva Trains Northern   ,United Kingdom,9BB
9BC,Central Trains   ,United Kingdom,9BC
9BD,Southern   ,United Kingdom,9BD
9BE,First Great Eastern   ,United Kingdom,9BE
9BF,First Great Western   ,United Kingdom,9BF
9BG,First North Western   ,United Kingdom,9BG
9BH,Great North Eastern Railway   ,United Kingdom,9BH
9BI,Midland Main Line   ,United Kingdom,9BI
9BJ,First Scotrail,United Kingdom,9BJ
9BK,South Central Trains   ,United Kingdom,9BK
9BL,South West Trains   ,United Kingdom,9BL
9BM,Virgin Trains   ,United Kingdom,9BM
9BN,WAGN Railway   ,United Kingdom,9BN
9BO,Arriva Trains Wales   ,United Kingdom,9BO
9BP,Wessex Trains   ,United Kingdom,9BP
9BQ,NSB - Norwegian State Railways   ,Norway,9BQ
9BR,Swedish Railways   ,Sweden,9BR
9BS,Wales & West   ,United Kingdom,9BS
9BT,Skanetrafiken   ,Sweden,9BT
9BU,OBB - Osterreichische Bundesbahnen   ,Austria,9BU
9BV,Silverlink Train Services   ,United Kingdom,9BV
9BW,First Capital Connect,United Kingdom,9BW
9BX,TransPennine Express   ,United Kingdom,9BX
9BY,London Eastern Railway   ,United Kingdom,9BY
9BZ,Southeastern Trains,United Kingdom,9BZ
9C,Spring Airlines,China,9C
9D,Toumai Air Tchad,Chad,9D
9E,Endeavor Air,USA,9E
9F,Eurostar International,United Kingdom,9F
9G,Airport Express Rail,United Kingdom,9G
9G1,Arlanda Express   ,Sweden,9G1
9G2,Gatwick Express   ,United Kingdom,9G2
9G3,Heathrow Express   ,United Kingdom,9G3
9G4,Stansted Express   ,United Kingdom,9G4
9H,Dutch Antilles Express,Curacao,9H
9I,Helitrans AS,Norway,9I
9J,Dana Airlines Ltd,Nigeria,9J
9K,Cape Air,USA,9K
9L,Colgan Air   ,USA,9L
9M,Central Mountain Air Ltd.,Canada,9M
9N,Tropic Air,Belize,9N
9O,National Airways Cameroon,Cameroon,9O
9P,Petra Airline,Jordan,9P
9Q,Caicos Express Airways,Turks and Caicos Islands,9Q
9R,SATENA,Colombia,9R
9S,Swazi Express,Swaziland,9S
9T,ACT Airlines Inc,Turkey,9T
9U,Air Moldova,Moldova Republic of,9U
9V,AVIOR Airlines,Venezuela,9V
9W,Jet Airways (india) Ltd,India,9W
9W1,Jet Airways Konnect,India,9W1
9X,Congo Express,Congo Democratic Republic of,9X
9Y,Fly Georgia,Georgia,9Y
A0,L'avion,France,A0
A2,Astra Airlines,Greece,A2
A3,Aegean Airlines,Greece,A3
A4,Aerocon,Bolivia,A4
A5,HOP!,France,A5
A6,Air Alps Aviation,Austria,A6
A7,Air Niamey,Niger,A7
A8,Aerolink Uganda Ltd,Uganda,A8
A9,Georgian Airways,Georgia,A9
AA,American Airlines,USA,AA
AA1,Van Galder Bus   ,USA,AA1
AAE,American Eagle     ,USA,AAE
AAF,Aigle Azur   ,France,AAF
AAG,Air Atlantique   ,United Kingdom,AAG
AAI,Air Aurora   ,USA,AAI
AAN,Amsterdam Airlines,Netherlands,AAN
AAQ,Copterline,Finland,AAQ
AAT,Austrian Air Transport   ,Austria,AAT
AAU,Australia Asia                         ,Australia,AAU
AB,Air Berlin,Germany,AB
ABB,Air Belgium   ,Belgium,ABB
ABD,Air Atlanta Icelandic   ,Iceland,ABD
ABJ,Abaete Linhas Aereas,Brazil,ABJ
ABO,"Superior Aviation, Inc",USA,ABO
ABQ,Airblue,Pakistan,ABQ
ABR,Air Contractors   ,Ireland Republic of,ABR
ABT,Alexandair     ,Canada,ABT
AC,Air Canada,Canada,AC
AC1,Alberta Citylink   ,Canada,AC1
AC2,DRL Coachlines Ltd   ,Canada,AC2
AC3,Air Canada Regional   ,Canada,AC3
AC4,Exploits Valley Air Services,Canada,AC4
AC5,Sky Regional Airlines,Canada,AC5
ACK,Nantucket Airlines   ,USA,ACK
ACL,ItAli Airlines,Italy,ACL
ACS,Air Cess   ,United Arab Emirates,ACS
ACU,Aerocancun     ,Mexico,ACU
AD,Azul Airlines,Brazil,AD
ADB,Antonov Design Bureau   ,Ukraine,ADB
ADI,Audeli   ,Spain,ADI
ADK,ADC Airlines   ,Nigeria,ADK
ADO,Avia Leasing,Uzbekistan,ADO
AE,Mandarin Airlines,Chinese Taipei,AE
AEK,Aero Costa Rica   ,Costa Rica,AEK
AEQ,Air Express Sweden,Sweden,AEQ
AEY,Air Italy,Italy,AEY
AF,Air France,France,AF
AF1,Air France Asie   ,France,AF1
AF2,Airspeed Aviation Ltd   ,Switzerland,AF2
AF3,Hermes Airlines,Greece,AF3
AFV,Air Afrique Vacances   ,Cote D'Ivoire,AFV
AFW,Africa World Airlines Limited,Ghana,AFW
AG,Interprovincial,Canada,AG
AG1,Hunting Cargo Airlines (Ireland)     ,Ireland Republic of,AG1
AGL,Air Galaxy,Bangladesh,AGL
AGO,Angola Air Charter     ,Angola,AGO
AGP,GPA     ,Ireland Republic of,AGP
AGU,Angara Airlines,Russian Federation,AGU
AH,Air Algerie,Algeria,AH
AHC,AZAL Avia Cargo   ,Azerbaijan,AHC
AHR,Air Holland   ,Netherlands,AHR
AHW,Aeromist-Kharkiv Ltd,Russian Federation,AHW
AI,Air India,India,AI
AIA,Avies Air Company,Estonia,AIA
AIH,Alpine Air Express Chile   ,Chile,AIH
AIJ,Air Jet   ,France,AIJ
AIN,African International Airways   ,Swaziland,AIN
AIS,Aeris   ,France,AIS
AJ,Aztec Worldwide Airlines,USA,AJ
AK,AirAsia,Malaysia,AK
AK1,FAX - Fly Asian Xpress,Malaysia,AK1
AKL,Air Kilroe     ,United Kingdom,AKL
AKT,Aircompany Karat   ,Russian Federation,AKT
AL,Skyway Airlines dba Midwest Connect,USA,AL
ALC,American Linehaul Corporation,USA,ALC
ALK,Airlink   ,Australia,ALK
ALO,Allegheny Airlines   ,USA,ALO
AM,Aeromexico,Mexico,AM
AMF,Ameriflight   ,USA,AMF
AMK,Amerer Air   ,Austria,AMK
AMV,AMC Airlines   ,Egypt,AMV
AMZ,Air Meuse     ,Belgium,AMZ
AN,Ansett Australia,Australia,AN
AN1,Ansett Australia Cargo   ,Australia,AN1
AN2,Ansett International   ,Australia,AN2
AN3,Skywest Airlines   ,Australia,AN3
ANH,Alajnihah AirTransport,Libya,ANH
ANK,Air Nippon,Japan,ANK
AO,Avianova,Russian Federation,AO
AOG,AeroVIP   ,Argentina,AOG
AOM,AOM French Airlines   ,France,AOM
AP,Air One,Italy,AP
APN,Air Polonia   ,Poland,APN
APP,Aeroperlas,Panama,APP
APR,Air Provence International   ,France,APR
AQ,MapJet,Austria,AQ
AQU,Airquarius Aviation   ,South Africa,AQU
AR,Aerolineas Argentinas,Argentina,AR
AR1,AeroVIP   ,Argentina,AR1
ARA,Arik Air,Nigeria,ARA
ARD,Aerocondor,Portugal,ARD
ARF,Airlinair     ,France,ARF
ARP,Europe Airpost   ,France,ARP
AS,Alaska Airlines,USA,AS
ASF,Air Schefferville     ,Canada,ASF
ASU,Aerosur   ,Bolivia,ASU
AT,Royal Air Maroc,Morocco,AT
ATM,Airlines Of Tasmania,Australia,ATM
ATN,Air Transport International   ,USA,ATN
AU,Austral,Argentina,AU
AUJ,Austrojet,Austria,AUJ
AUK,Auric Air Services,Tanzania United Republic of,AUK
AUZ,Australian Airlines,Australia,AUZ
AV,Avianca,Colombia,AV
AV1,Eastern Bus Company Inc,USA,AV1
AVJ,Avia Traffic Company,Kyrgyzstan,AVJ
AVY,Aerovaradero     ,Cuba,AVY
AW,Africa World Airlines Limited,Ghana,AW
AWC,Titan Airways   ,United Kingdom,AWC
AWG,Air West Ltd,Georgia,AWG
AWK,Airwork (NZ),New Zealand,AWK
AWM,Asian Wings Airways,Myanmar,AWM
AWN,Air Niamey,Niger,AWN
AWQ,Indonesia AirAsia,Indonesia,AWQ
AWV,Airwave Transport   ,Canada,AWV
AX,Trans States Airlines,USA,AX
AXB,Air India Express,India,AXB
AXY,Axis Airways,France,AXY
AY,Finnair,Finland,AY
AYL,Alpine Air Private,Nepal,AYL
AYZ,Atlant-Soyuz Airlines,Russian Federation,AYZ
AZ,Alitalia - Compagnia Aerea Italiana Spa,Italy,AZ
AZD,Air Zara International,Tanzania United Republic of,AZD
AZI,Astra Airlines,Greece,AZI
AZM,Aerocozumel   ,Mexico,AZM
AZY,Arizona Airways Express     ,USA,AZY
B2,Belavia,Belarus,B2
B21,Komiinteravia     ,Russian Federation,B21
B3,Bhutan Airlines,Bhutan,B3
B4,"Bankair, Inc.",USA,B4
B5,East African SAFari Air Express,Kenya,B5
B6,JetBlue Airways Corporation,USA,B6
B7,Uni Airways,Chinese Taipei,B7
B8,Eritrean Airlines,Eritrea,B8
B9,Iran Air Tours,Iran Islamic Republic of,B9
BA,British Airways,United Kingdom,BA
BA1,British Airways Regional   ,United Kingdom,BA1
BA2,Aero Services     ,United Kingdom,BA2
BA3,Corporate Air Inc.     ,Canada,BA3
BA4,National Jets Italia   ,Italy,BA4
BA5,Majestic or Samara Rent a Car,Saudi Arabia,BA5
BAL,Britannia Airways   ,United Kingdom,BAL
BAW,British Asia Airways   ,United Kingdom,BAW
BB,Seaborne Airlines,"Virgin Islands, US",BB
BBB,Balair   ,Switzerland,BBB
BBT,Air Bashkortostan,Russian Federation,BBT
BC,Skymark Airlines,Japan,BC
BCI,Blue Islands,United Kingdom,BCI
BD,bmi british midland,United Kingdom,BD
BD1,British Midland (Holding Company)   ,United Kingdom,BD1
BDR,Badr Airlines,Sudan,BDR
BE,Flybe,United Kingdom,BE
BED,Belgorod State Aviation Enterprise   ,Russian Federation,BED
BES,Aero Services Executive   ,France,BES
BF,Vincent Aviation,Australia,BF
BFL,Buffalo Airways,Canada,BFL
BFO,Bluebird Cargo,Iceland,BFO
BG,Biman Bangladesh Airlines,Bangladesh,BG
BGH,Balkan Holidays Air,Bulgaria,BGH
BGM,OJSC AK BARS AERO,Russian Federation,BGM
BH,Hawkair,Canada,BH
BHA,Buddha Air,Nepal,BHA
BHB,Bosphorus Airways     ,Turkey,BHB
BHL,Bristow Helicopters   ,United Kingdom,BHL
BHP,Belair,Switzerland,BHP
BI,Royal Brunei Airlines,Brunei Darussalam,BI
BID,Binair,Germany,BID
BIE,Air Mediterrannee   ,France,BIE
BIM,Binter Mediterraneo   ,Spain,BIM
BJ,Nouvelair,Tunisia,BJ
BJ1,BritishJET,United Kingdom,BJ1
BK,Okay Airways,China,BK
BL,Jetstar Pacific Airlines,Viet Nam,BL
BLE,Blue Line   ,France,BLE
BLN,Bali Air   ,Indonesia,BLN
BLX,TUIfly Nordic,Sweden,BLX
BM,BMI Regional,United Kingdom,BM
BMO,Thai Flying Service,Thailand,BMO
BMR,bmi regional   ,United Kingdom,BMR
BMY,Bimini Island Air,USA,BMY
BN,Bahrain Air,Bahrain,BN
BNO,Landair International Airlines,USA,BNO
BO,BB Airways PVT Ltd,Nepal,BO
BOI,Aboitiz Air   ,Philippines,BOI
BOR,Borneo Airways     ,Brunei Darussalam,BOR
BP,Air Botswana,Botswana,BP
BP1,Kalahari Air Services & Charter   ,Botswana,BP1
BPS,Budapest Aircraft Service Ltd.,Hungary,BPS
BQ,"Aeromar, C. Por A.",Dominican Republic,BQ
BQB,BQB Air,Uruguay,BQB
BQO,"Aeromar, C. Por A.",Dominican Republic,BQO
BR,EVA Airways,Chinese Taipei,BR
BRB,BRA Transportes Aereos,Brazil,BRB
BRH,Star Air Cargo,South Africa,BRH
BRJ,Borajet,Turkey,BRJ
BRP,Aerobratsk,Russian Federation,BRP
BRT,British Airways CitiExpress   ,United Kingdom,BRT
BRY,Brymon Airways   ,United Kingdom,BRY
BS,British International,United Kingdom,BS
BSK,Miami Air International   ,USA,BSK
BSO,Cirrusair,USA,BSO
BT,Air Baltic Corporation,Latvia,BT
BT1,Air Baltic Eastern,Latvia,BT1
BTR,Brewster Bus   ,USA,BTR
BTV,Batavia Air,Indonesia,BTV
BU,Compagnie Africaine d'Aviation,Congo Democratic Republic of,BU
BUC,Bulgarian Air Charter   ,Bulgaria,BUC
BUE,Sweden Airways AB,Sweden,BUE
BV,Blue Panorama Airlines,Italy,BV
BVI,BVI Airways,"Virgin Islands, British",BVI
BVN,Baron Aviation   ,USA,BVN
BW,Caribbean Airlines,Trinidad and Tobago,BW
BWI,Blue Wing Airlines,Suriname,BWI
BWL,British World Airlines   ,United Kingdom,BWL
BX,Air Busan,Korea Republic of,BX
BXH,Bar XH Air   ,Canada,BXH
BXI,Brussels International Airlines   ,Belgium,BXI
BY,Britannia Airways,United Kingdom,BY
BZ,Blue Dart Aviation Limited,India,BZ
C0,Centralwings,Poland,C0
C2,CEIBA Intercontinental S.A.,Equatorial Guinea,C2
C3,Contact Air,Germany,C3
C4,Click Airways,United Arab Emirates,C4
C5,CommutAir   ,USA,C5
C51,ALTA Lineas Aereas     ,Argentina,C51
C6,CanJet Airlines,Canada,C6
C7,Cinnamon Air,Sri Lanka,C7
C8,CRONOSAIR,Equatorial Guinea,C8
C9,Cirrus Airlines,Germany,C9
CA,Air China,China,CA
CA1,Dalian Airlines,China,CA1
